Rank,Country,Bodybuilders,Gold,Silver,Bronze,Total
1,United States,120,40,48,40,128
2,Austria,3,7,1,0,8
3,United Kingdom,16,6,1,0,7
4,Italy,7,4,1,0,5
5,Cuba,1,3,2,0,5
6,Egypt,5,2,3,0,5
7,Iran,3,1,0,2,3
8,Lebanon,8,1,0,0,1
9,Barbados,6,0,2,2,4
10,France,7,0,1,2,3
11,Netherlands,6,0,1,2,3
12,FR Yugoslavia (1992-2002),2,0,1,2,3
13,Dominican Republic,1,0,1,1,2
14,Australia,6,0,1,0,1
15,Germany (Unified),14,0,0,2,2
16,Venezuela,1,0,0,2,2
17,Curaçao,1,0,0,1,1
17,Hungary,1,0,0,1,1
19,Canada,10,0,0,0,0
20,Poland,4,0,0,0,0
21,Czech Republic,3,0,0,0,0
21,Russia,3,0,0,0,0
21,Spain,3,0,0,0,0
24,Brazil,2,0,0,0,0
24,Finland,2,0,0,0,0
24,Norway,2,0,0,0,0
24,Slovakia,2,0,0,0,0
24,Sweden,2,0,0,0,0
24,Switzerland,2,0,0,0,0
30,Algeria,1,0,0,0,0
30,Czechoslovakia (1989-1991),1,0,0,0,0
30,Denmark,1,0,0,0,0
30,Greece,1,0,0,0,0
30,India,1,0,0,0,0
30,Japan,1,0,0,0,0
30,Jordan,1,0,0,0,0
30,Morocco,1,0,0,0,0
30,Nigeria,1,0,0,0,0
30,Puerto Rico,1,0,0,0,0
30,SFR Yugoslavia (1991),1,0,0,0,0
30,The Bahamas,1,0,0,0,0
30,Trinidad and Tobago,1,0,0,0,0
30,Turkey,1,0,0,0,0
30,Ukraine,1,0,0,0,0
30,United Arab Emirates,1,0,0,0,0
