Rank,Mr. Olympia champion,Year(s),Overall,Heavyweight,Lightweight
1,Ronnie Coleman,"1998, 1999, 2000, 2001, 2002, 2003, 2004, and 2005",8,0,0
1,Lee Haney,"1984, 1985, 1986, 1987, 1988, 1989, 1990, and 1991",8,0,0
3,Arnold Schwarzenegger,"1970, 1971, 1972, 1973, 1974 (overall & heavyweight), 1975 (overall & heavyweight), and 1980",7,2,0
3,Phil Heath,"2011, 2012, 2013, 2014, 2015, 2016, and 2017",7,0,0
5,Dorian Yates,"1992, 1993, 1994, 1995, 1996, and 1997",6,0,0
6,Jay Cutler,"2006, 2007, 2009, and 2010",4,0,0
7,Frank Zane,"1977 (overall & lightweight), 1978 (overall & lightweight), 1979 (overall & lightweight)",3,0,3
7,Sergio Oliva,"1967, 1968, and 1969",3,0,0
9,Franco Columbu,"1974 (lightweight), 1975 (lightweight), 1976 (overall & lightweight), and 1981",2,0,3
9,Mamdouh Elssbiay,2020 and 2021,2,0,0
9,Larry Scott,1965 and 1966,2,0,0
12,Chris Dickerson,1982,1,0,0
12,Samir Bannout,1983,1,0,0
12,Dexter Jackson,2008,1,0,0
12,Shawn Rhoden,2018,1,0,0
12,Brandon Curry,2019,1,0,0
12,Hadi Choopan,2022,1,0,0
17,Robby Robinson,1977 (heavyweight) and 1978 (heavyweight),0,2,0
17,Kenny Waller,1976 (heavyweight),0,1,0
17,Mike Mentzer,1979 (heavyweight),0,1,0
